Surname,First name,Institution,Department,Email address,State,Started on,Completed,Time taken,Grade/350.00,Q. 1 /5.00,Q. 2 /5.00,Q. 3 /10.00,Q. 4 /10.00,Q. 5 /15.00,Q. 6 /15.00,Q. 7 /15.00,Q. 8 /20.00,Q. 9 /20.00,Q. 10 /5.00,Q. 11 /5.00,Q. 12 /10.00,Q. 13 /10.00,Q. 14 /15.00,Q. 15 /15.00,Q. 16 /15.00,Q. 17 /20.00,Q. 18 /20.00,Q. 19 /5.00,Q. 20 /5.00,Q. 21 /5.00,Q. 22 /5.00,Q. 23 /5.00,Q. 24 /5.00,Q. 25 /5.00,Q. 26 /5.00,Q. 27 /5.00,Q. 28 /5.00,Q. 29 /5.00,Q. 30 /5.00,Q. 31 /2.00,Q. 32 /2.00,Q. 33 /2.00,Q. 34 /2.00,Q. 35 /2.00,Q. 36 /10.00,Q. 37 /10.00,Q. 38 /30.00
S1,user11,,,user111@c.com,Finished,1801202017 13:20,1801202017 13:39,19 mins 33 secs,Not yet graded,5,0,10,10,15,15,15,0,10,5,0,10,10,0,15,15,8,4,0,0,0,0,5,5,0,0,0,0,5,0,2,2,2,2,2,5,7,25
S21,user31,,,user311@c.com,Finished,1801202017 13:41,1801202017 13:52,10 mins 57 secs,Not yet graded,0,5,10,10,15,15,15,8,0,5,0,10,10,0,15,15,0,4,0,5,0,0,0,0,5,5,0,0,5,0,0,0,0,2,2,8,4,20
S22,user32,,,user321@c.com,Finished,1801202017 13:53,1801202017 13:59,5 mins 56 secs,Not yet graded,5,5,0,0,0,15,0,0,5,5,0,10,0,15,15,15,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,2,2,2,6,6,15
S23,user33,,,user331@c.com,Finished,1801202017 14:00,1801202017 14:07,7 mins 15 secs,Not yet graded,5,0,10,10,15,15,15,0,10,5,0,10,10,15,15,15,8,8,0,5,0,0,0,0,0,0,5,0,0,0,2,2,2,2,2,9,9,14
S24,user34,,,user341@c.com,Finished,1801202017 14:07,1801202017 14:14,6 mins 52 secs,Not yet graded,5,5,10,10,15,15,15,8,5,5,0,10,0,0,15,15,4,4,5,0,5,0,5,0,5,0,0,5,5,0,2,2,2,0,0,10,8,17
S25,user35,,,user351@c.com,Finished,1801202017 14:15,1801202017 14:27,12 mins 27 secs,Not yet graded,0,0,10,10,15,15,15,0,10,5,0,10,10,15,15,15,4,8,0,5,5,0,0,0,0,0,0,0,5,5,2,2,2,0,0,5,6,9
S26,user36,,,user361@c.com,Finished,1801202017 14:28,1801202017 14:40,12 mins 17 secs,Not yet graded,0,5,0,10,15,15,15,8,10,5,0,10,10,15,15,15,0,4,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,6,9,8
S27,user37,,,user371@c.com,In progress,18-12-2017 14:41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S28,user38,,,user381@c.com,Finished,1801202017 15:08,1801202017 15:31,23 mins 24 secs,Not yet graded,0,0,10,10,15,15,15,4,10,5,0,10,10,15,15,15,8,0,0,5,5,5,0,0,0,5,5,0,0,5,2,2,2,0,0,7,2,27
S29,user39,,,user391@c.com,Finished,1801202017 15:32,1801202017 15:54,21 mins 51 secs,Not yet graded,5,0,10,0,15,0,0,4,0,5,0,10,10,15,15,15,4,8,5,5,5,0,5,0,0,0,0,0,5,0,0,2,2,2,2,4,7,24
S2,user12,,,user121@c.com,Finished,1801202017 15:59,1801202017 16:14,14 mins 43 secs,Not yet graded,0,5,0,10,0,15,0,20,0,5,0,0,0,0,0,15,20,16,0,5,0,0,0,5,5,5,5,0,5,5,2,2,2,2,2,6,5,13
S3,user13,,,user131@c.com,Finished,1801202017 16:16,1801202017 16:29,12 mins 41 secs,Not yet graded,5,5,0,10,15,15,15,4,0,5,0,10,0,0,15,15,20,20,5,5,5,5,5,0,5,5,5,5,5,0,0,0,2,0,0,9,6,28
S4,user14,,,user141@c.com,Finished,1801202017 16:31,1801202017 16:50,19 mins 11 secs,Not yet graded,0,0,0,10,0,15,15,20,0,5,0,0,0,0,0,0,8,16,0,5,0,5,0,0,5,0,0,0,5,5,2,0,0,0,0,0,8,0
S5,user15,,,user151@c.com,Finished,1801202017 16:52,1801202017 17:07,15 mins 10 secs,Not yet graded,0,0,10,10,0,0,15,0,10,5,0,0,0,15,0,0,8,0,0,5,0,5,5,5,5,0,0,0,0,5,0,2,0,2,0,2,6,19
S6,user16,,,user161@c.com,Finished,1801202017 17:11,1801202017 17:19,8 mins 11 secs,Not yet graded,5,5,10,10,15,15,15,0,10,5,0,10,0,15,15,0,12,4,5,5,0,5,0,5,5,0,0,0,5,5,2,2,2,2,2,7,9,23
S7,user17,,,user171@c.com,Finished,1801202017 17:12,1801202017 17:20,23 mins 24 secs,Not yet graded,5,0,10,10,15,15,15,0,10,5,0,10,10,0,15,15,8,4,0,0,0,0,5,5,0,0,0,0,5,0,2,2,2,2,2,5,7,25
S8,user18,,,user172@c.com,Finished,1801202017 17:13,1801202017 17:21,21 mins 51 secs,Not yet graded,5,5,0,0,0,15,0,0,5,5,0,0,0,15,15,0,8,0,0,0,5,5,0,0,5,0,0,5,0,5,0,2,2,2,0,3,6,17
S9,user19,,,user173@c.com,Finished,1801202017 17:14,1801202017 17:22,14 mins 43 secs,Not yet graded,0,0,10,10,15,15,15,0,10,5,0,10,10,15,0,15,4,4,0,5,0,5,5,5,5,0,5,0,5,0,2,0,2,0,2,7,4,18
